Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,12.6,12.8,12.7,12.5,12.5,12.5,12.6,12.6,13.2,12.9,12.8,12.7,13,12.9,12.9,12.7,12.7,12.6,12.7,12.7,12.6,12.7
Bulgaria,1.1,1.3,1.6,1.6,1.9,1.9,2,2.1,2.3,2.2,2.2,2.5,2.7,3,3.3,3.8,4.2,4.5,4.8,5.2,5.4,5.1
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,3.6,3.7,3.8,3.9,4,4.1,4.2,4.7,4.7,4.7,4.6,4.4,4.5,4.6,4.7,4.8,5,5.2,5.6,6.1,6.2,6.2
Czechia,3.5,3.8,4.2,4.3,4.6,4.9,4.9,4.6,4.6,4.5,4.4,4.3,4.3,4.4,4.8,5.1,5.6,6.1,6.5,6.8,6.8,6.3
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,2,2.3,2.6,2.9,3,3.2,3.7,4.2,4.2,4.1,3.7,3.7,3.8,4.3,4.7,5.1,5.4,5.6,5.9,6.4,6.2,5.7
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,11.5,11.6,11.8,12.2,12.7,13,13.2,13.2,13.4,13.3,13.3,13.5,13.5,13.6,13.7,13.8,13.8,13.7,13.7,13.8,13.8,13.8
Germany,0,0,0,0,0,0,0,0,0,11.9,11.9,11.9,11.9,11.9,12.7,12.6,13,12.7,13.1,13.3,13.1,13.6
Greece,6.3,6.4,6.5,6.6,6.7,6.9,7.1,7.2,7.6,7.4,7.2,5.7,5.6,5.7,5.8,5.8,5.8,5.7,6.3,6.4,6.3,6.2
Hungary,3,3.5,3.4,3.3,3.5,3.7,3.6,3.5,3.5,3.4,3.5,4,4.1,4.3,4.4,4.6,5.1,5.4,5.7,6,5.8,6.2
Ireland,7.9,7.9,8,8.6,9,8.9,9.4,9.2,9.6,9.7,9.5,9.3,9.3,9.2,9.3,9.8,9.9,10.2,10.3,10.7,10.5,10.1
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,1.8,1.9,2.1,2.3,2.2,2.3,2.8,3.2,3.5,3.5,3.7,3.6,3.7,4.1,4.6,4.7,4.7,5.2,5,5,5.7,4.8
Lithuania,2.6,2.6,2.7,2.9,3.1,3.4,3.6,4,3.8,3.8,3.6,3.6,3.7,3.9,4.9,5.5,5.5,5.7,7.7,7.6,8.4,8
Luxembourg,11.7,11.7,12.1,12.1,12.3,12.3,12.5,12.3,12.8,12.8,12.8,12.8,12.7,13.2,13.2,13.2,13.4,13.4,13.6,13.8,14,13.6
Malta,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.5
Netherlands,12.5,12.7,12.8,12.7,12.5,12.5,12.6,12.6,12.9,12.9,12.7,12.7,12.5,12.6,12.6,12.8,12.9,12.9,12.9,13,12.9,12
Poland,3.8,3.7,3.9,3.8,3.9,4.1,4.1,4.8,5.2,5.2,5.3,5.5,5.8,6.1,6.4,6.8,7.2,7.5,7.8,8.7,9,8.4
Portugal,5.2,5.2,5.1,5.1,5.2,5.2,5.3,5.4,5.8,6,5.9,5.8,5.7,5.8,6,6.2,6.5,6.7,6.9,7.3,7.5,7.4
Romania,1.3,1.4,1.8,1.8,1.8,1.8,2,2.4,2.7,2.5,2.7,2.7,2.9,3.3,3.8,4.4,5.3,6.8,7.2,7.7,7.4,6.6
Slovakia,2.4,2.6,2.9,2.9,3,3.1,3.3,3.3,3.6,3.7,3.7,3.6,3.7,3.9,4.2,4.5,4.8,5.1,5.3,5.9,6.2,5.7
Slovenia,5.6,5.8,6,6.2,6.3,6.4,6.3,6.4,6.6,7.8,8,8,8.1,8.1,8.2,8.2,8.2,8.5,8.8,9.3,9.9,9.6
Spain,7.7,7.6,7.5,7.7,8.1,8.2,8.5,8.6,8.9,8.9,8.7,8.5,8.5,8.5,8.6,8.7,9.2,9.4,11.4,12.1,11.8,11.4
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
